Vid1;Vid2;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;START_key.started;START_key.keys;START_key.rt;visual_key.keys;visual_key.rt;sem_key.keys;sem_key.rt;pass_loop.keys;end_resp.started;end_resp.keys;end_resp.rt;participant;session;date;expName;psychopyVersion;frameRate
;;;;;;4.290000651963055e-05;space;1.8223203000088688;;;;;;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3VCM.mp4;Sign_Stimuli/Stim1VCM.mp4;0;0;0;0;;;;['1'];[10.221661399991717];['3'];[8.762547799997265];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1SCF.mp4;Sign_Stimuli/Stim2M.mp4;0;1;1;1;;;;['1'];[1.3613419000175782];['2'];[8.893878400005633];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1F.mp4;Sign_Stimuli/Stim3SCF.mp4;0;2;2;2;;;;['1'];[2.0220536999986507];['1'];[4.941471500002081];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3M.mp4;Sign_Stimuli/Stim2VCF.mp4;0;3;3;3;;;;['1'];[1.6116046000097413];['1'];[5.879050800023833];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1SCM.mp4;Sign_Stimuli/Stim3F.mp4;0;4;4;4;;;;['1'];[1.7250260000000708];['2'];[4.095251599996118];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3VCF.mp4;Sign_Stimuli/Stim3VCM.mp4;0;5;5;5;;;;['6'];[5.258331500022905];['3'];[2.95793470001081];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2M.mp4;Sign_Stimuli/Stim2SCF.mp4;0;6;6;6;;;;['1'];[0.41238950000843033];['3'];[9.789918800001033];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2VCM.mp4;Sign_Stimuli/Stim3VCM.mp4;0;7;7;7;;;;['1'];[1.5747735000040848];['2'];[4.2591937000106554];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3VCF.mp4;Sign_Stimuli/Stim2VCF.mp4;0;8;8;8;;;;['1'];[2.2551185000047553];['2'];[7.6427137999853585];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3VCF.mp4;Sign_Stimuli/Stim3F.mp4;0;9;9;9;;;;['5'];[3.595304999995278];['4'];[4.42475989999366];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2F.mp4;Sign_Stimuli/Stim2VCF.mp4;0;10;10;10;;;;['7'];[8.65751220000675];['7'];[2.1061791999964043];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1SCF.mp4;Sign_Stimuli/Stim3SCF.mp4;0;11;11;11;;;;['3'];[1.435787700000219];['2'];[7.25577789999079];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3SCM.mp4;Sign_Stimuli/Stim1M.mp4;0;12;12;12;;;;['1'];[3.4927234000060707];['2'];[2.114483500015922];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2SCM.mp4;Sign_Stimuli/Stim3VCF.mp4;0;13;13;13;;;;['1'];[7.6538930000097025];['2'];[1.9127435999980662];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1VCF.mp4;Sign_Stimuli/Stim1SCM.mp4;0;14;14;14;;;;['2'];[1.3529823999851942];['2'];[4.138324899977306];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2SCF.mp4;Sign_Stimuli/Stim3M.mp4;0;15;15;15;;;;['3'];[7.215272199973697];['3'];[4.400976000004448];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3M.mp4;Sign_Stimuli/Stim3VCM.mp4;0;16;16;16;;;;['5'];[2.0283123000117484];['3'];[4.866164100007154];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3SCM.mp4;Sign_Stimuli/Stim1SCF.mp4;0;17;17;17;;;;['2'];[8.615942799980985];['2'];[4.276942199998302];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3F.mp4;Sign_Stimuli/Stim3VCM.mp4;0;18;18;18;;;;['5'];[2.013601500017103];['3'];[2.2030514999933075];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1F.mp4;Sign_Stimuli/Stim1VCM.mp4;0;19;19;19;;;;['5'];[3.8244245999958366];['4'];[5.227670499996748];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1VCF.mp4;Sign_Stimuli/Stim1M.mp4;0;20;20;20;;;;['5'];[1.3495713000011165];['4'];[1.6433968999772333];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
