Vid1,Vid2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,START_key.keys,START_key.rt,START_key.started,START_key.stopped,visual_key.keys,visual_key.rt,sem_key.keys,sem_key.rt,pass_loop.keys,end_resp.keys,end_resp.rt,end_resp.started,end_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,space,1.78791906,0.016298902,None,,,,,,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3VCM.mp4,Sign_Stimuli/Stim1VCM.mp4,0,0,0,0,,,,,['2'],[11.725940648990218],['1'],[15.705672881013015],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1SCF.mp4,Sign_Stimuli/Stim2M.mp4,0,1,1,1,,,,,['1'],[4.1147499380022055],['1'],[4.410183584011975],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1F.mp4,Sign_Stimuli/Stim3SCF.mp4,0,2,2,2,,,,,['1'],[2.4227655160066206],['1'],[7.073667365999427],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3M.mp4,Sign_Stimuli/Stim2VCF.mp4,0,3,3,3,,,,,['1'],[2.228429529001005],['1'],[13.594430206998368],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1SCM.mp4,Sign_Stimuli/Stim3F.mp4,0,4,4,4,,,,,['1'],[5.1218916259967955],['1'],[10.10986413298815],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3VCF.mp4,Sign_Stimuli/Stim3VCM.mp4,0,5,5,5,,,,,['7'],[22.123972561996197],['5'],[10.634233780991053],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2M.mp4,Sign_Stimuli/Stim2SCF.mp4,0,6,6,6,,,,,['2'],[5.355667502997676],['2'],[9.717931512001087],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2VCM.mp4,Sign_Stimuli/Stim3VCM.mp4,0,7,7,7,,,,,['2'],[4.289246540007298],['1'],[5.844076381996274],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3VCF.mp4,Sign_Stimuli/Stim2VCF.mp4,0,8,8,8,,,,,['1'],[1.2763699339993764],['1'],[1.5208666040125536],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
